row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
119;263.2363281;21.22;C18H30O - C13H30N2O3;C16H32O;76055;20794;12757;10482;7789;4185
120;295.2263972;15.66;C18H30O3 - C13H30N2O5;C16H32O3;57218;27988;24930;17210;25592;11208
121;585.4217885;22.38;C37H52N4O2 - C35H56N2O5 - C30H56N4O7 - C29H60O11;C33H58N2O5 - C28H58N4O7;58386;48804;38939;19973;13024;10257
122;226.9508769;30.08;;;19510;14449;8743;10773;8003;13051
123;598.3215841;17.56;C36H43N3O5 - C37H43NO6 - C30H47NO11 - C25H47N3O13;C34H45N3O5 - C28H49NO11;46062;14988;10759;9623;7912;3577
124;611.4592845;22.56;C41H58N2O2;C39H60N2O2;58717;163161;62186;31646;51710;39391
125;311.1652298;13.41;C20H22O3;C18H24O3 - C12H24N4O4;67957;22877;11915;6178;4192;1367
126;203.1036034;7.79;;;51567;19332;10024;3800;3765;8335
127;556.3127492;15.78;C34H41N3O4 - C28H45NO10 - C23H45N3O12;C32H43N3O4 - C26H47NO10;58696;14134;10209;14555;8489;3468
128;425.3774541;23.28;C30H48O - C25H48N2O3;C28H50O;41374;16966;10760;9373;5531;4469
129;429.3722331;28.12;C29H48O2 - C24H48N2O4;C27H50O2;31857;8005;13667;1090;24;1519
130;441.3719584;23.23;C30H48O2 - C25H48N2O4;C28H50O2;78847;26746;18760;16448;11665;7405
131;441.3719724;23.23;C30H48O2 - C25H48N2O4;C28H50O2;63250;20925;14323;11445;9279;6155
132;561.2675832;15.78;;;48857;12533;8482;11926;8678;4288
133;559.2870738;21.29;C32H38N4O5 - C21H42N4O13;C30H40N4O5;68122;10247;7471;5335;3730;2831
134;565.3144633;17.94;C35H40N4O3 - C34H44O7 - C29H44N2O9 - C22H48N2O14;C33H42N4O3 - C32H46O7 - C27H46N2O9 - C25H50O12;62620;19265;10191;4692;2957;704
135;353.2682775;17.26;C22H32N4 - C21H36O4 - C16H36N2O6;C20H34N4 - C19H38O4;51347;43682;40550;30005;30366;26442
136;293.2101059;14.05;C18H28O3 - C13H28N2O5;C16H30O3;86847;20804;32711;22652;21299;20418
137;397.2367706;11.84;C25H32O4 - C20H32N2O6;C23H34O4;58906;9743;6182;2116;1334;919
138;331.2841593;20.54;C20H34N4 - C19H38O4;C18H36N4;63107;39133;35224;33820;48819;28317
139;473.2514445;13.99;C28H32N4O3 - C27H36O7 - C22H36N2O9;C26H34N4O3 - C25H38O7 - C20H38N2O9;51320;11227;7612;5121;2679;921
140;395.220253;22.7;C20H30N2O6;;55952;22624;25972;19846;23197;18248
141;317.2080104;13.33;C15H28N2O5;C13H30N2O5;92425;23424;45301;34432;31937;26333
142;556.3111216;12.67;C28H45NO10 - C23H45N3O12;C32H43N3O4 - C26H47NO10;33388;11596;8191;1120;394;1661
143;202.1800346;30.04;C11H23NO2;;18662;14117;8180;10807;11150;18560
144;295.1693166;10.97;C20H22O2;C18H24O2;37729;12030;6765;696;369;1311
145;484.2913107;15.71;C31H37N3O2 - C25H41NO8;C29H39N3O2 - C23H43NO8;37605;13307;6925;6043;2800;1264
146;274.2734375;30.07;C16H35NO2;;18625;16193;11577;14174;15241;16915
147;503.2605362;17.05;C29H34N4O4 - C28H38O8 - C23H38N2O10 - C18H38N4O12;C27H36N4O4 - C26H40O8 - C21H40N2O10;45303;10322;6730;8568;8076;3844
148;391.2116597;17.57;C23H26N4O2 - C22H30O6;C21H28N4O2 - C20H32O6;36222;7239;3592;3888;1917;828
