row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
401;647.157491;0.73;C37H26O11 - C31H26N4O12 - C30H30O16 - C25H30N2O18 - C20H30N4O20 - C18H34N2O23 - C19H34O24;C34H28N2O10 - C35H28O11 - C29H28N4O12 - C28H32O16 - C23H32N2O18 - C16H36N2O23;0;0;0;10486;40150;53271
402;611.4665985;17.46;C40H58N4O;C38H60N4O;0;0;656;17626;70951;31188
403;520.339681;13.24;C33H45NO4 - C28H45N3O6;C26H47N3O6;0;0;0;12103;55937;24391
404;287.0547638;3.07;C16H6N4O2 - C15H10O6 - C10H10N2O8;C14H8N4O2 - C13H12O6;0;0;292;11042;32431;27562
405;317.0657349;3.31;C17H8N4O3 - C16H12O7;C15H10N4O3 - C14H14O7;0;0;52;3922;32012;42522
406;609.1823883;4.4;C34H28N2O9 - C29H28N4O11 - C28H32O15 - C23H32N2O17 - C16H36N2O22;C32H30N2O9 - C27H30N4O11 - C26H34O15 - C20H34N4O16;0;0;202;9320;27800;23918
407;209.1528257;1.09;C13H20O2 - C8H20N2O4;C11H22O2;2183;7436;26359;20191;25036;32400
408;578.2854004;23.23;;;0;0;0;13634;41852;30958
409;480.3082479;18.12;C25H41N3O6;C23H43N3O6;0;0;0;5559;27211;13379
410;463.1237259;3.9;C23H18N4O7 - C17H22N2O13;C21H20N4O7;0;0;146;7401;29208;33927
411;578.2857056;22.89;;;0;0;0;15633;52420;38357
412;387.2011871;1.21;C20H26N4O4 - C19H30O8 - C14H30N2O10;C18H28N4O4 - C17H32O8;32;18017;17765;13438;31788;32419
413;495.1141357;1.75;C28H18N2O7 - C23H18N4O9 - C22H22O13 - C17H22N2O15;C21H20N4O9 - C20H24O13;0;0;0;5342;33230;36463
414;595.165802;2.13;C33H26N2O9 - C28H26N4O11 - C27H30O15 - C22H30N2O17 - C15H34N2O22;C31H28N2O9 - C26H28N4O11 - C25H32O15 - C19H32N4O16;0;0;0;3415;35214;37886
415;773.5196075;19.77;;;0;0;31150;89988;39482;10457
416;607.2541657;18.64;C35H34N4O6 - C29H38N2O12 - C22H42N2O17;C33H36N4O6 - C26H40N4O11 - C25H44O15 - C20H44N2O17;0;5735;4184;12943;32056;15592
417;268.2187744;29.45;;;0;25725;8807;14783;27456;2675
418;205.0855637;16.53;C12H12O3 - C7H12N2O5;C10H14O3;159785;53654;47854;66692;59588;35312
419;643.2892151;25;C39H38N4O5 - C33H42N2O11 - C26H46N2O16 - C21H46N4O18;C37H40N4O5 - C30H44N4O10 - C31H44N2O11 - C29H48O14 - C24H48N2O16;4961;14117;9752;19574;19416;18396
420;657.2562447;16.86;C40H36N2O7 - C35H36N4O9 - C34H40O13 - C28H40N4O14 - C29H40N2O15 - C27H44O18 - C22H44N2O20;C38H38N2O7 - C33H38N4O9 - C32H42O13 - C26H42N4O14;0;1507;0;18411;23315;13223
421;303.0503184;2.32;C16H6N4O3 - C15H10O7;C14H8N4O3 - C13H12O7;0;0;0;4989;22527;20969
422;879.4015808;18.42;C45H58N4O14;C43H60N4O14;0;0;410;20342;23917;6842
423;479.2637711;11.23;C27H34N4O4 - C21H38N2O10;;5044;1247;561;11430;15535;2976
424;522.3545736;14.79;C33H47NO4 - C28H47N3O6;C31H49NO4 - C26H49N3O6;0;0;0;3543;21398;14897
425;773.5187317;17.55;;;0;614;1283;4748;20062;7615
426;663.1510519;3.34;C37H26O12 - C31H26N4O13 - C32H26N2O14 - C25H30N2O19 - C20H30N4O21 - C18H34N2O24;C35H28O12 - C29H28N4O13 - C23H32N2O19 - C18H32N4O21 - C16H36N2O24;0;0;0;2648;18056;16342
427;478.292155;12.91;C30H39NO4 - C25H39N3O6;C23H41N3O6;0;0;0;1277;15407;1025
428;479.1179886;3.39;C23H18N4O8 - C22H22O12 - C17H22N2O14;C26H20N2O6 - C21H20N4O8 - C20H24O12;0;0;73;2511;12133;7165
429;317.0658112;4.48;C17H8N4O3 - C16H12O7;C15H10N4O3 - C14H14O7;0;0;336;6692;18693;16828
430;449.1078377;1.9;C22H16N4O7 - C21H20O11 - C16H20N2O13;C25H18N2O5 - C20H18N4O7 - C19H22O11 - C12H26O16;0;0;70;9376;38314;36661
431;291.1949539;8.81;C18H26O3 - C13H26N2O5;C16H28O3;7276;6550;5572;8065;9119;2123
432;595.1657512;4.72;C33H26N2O9 - C28H26N4O11 - C27H30O15 - C22H30N2O17 - C15H34N2O22;C31H28N2O9 - C26H28N4O11 - C25H32O15 - C19H32N4O16;0;0;0;3563;11530;10379
433;331.2839152;17.88;C20H34N4 - C19H38O4;C18H36N4;0;0;0;2761;26792;12285
434;859.1677144;3.08;C37H34N2O22 - C32H34N4O24 - C30H38N2O27 - C31H38O28 - C25H38N4O29;C40H36O20 - C35H36N2O22 - C30H36N4O24 - C33H40O25 - C28H40N2O27 - C29H40O28 - C23H40N4O29;0;0;0;2617;15765;6070
435;219.0983124;2.97;;;5609;6944;19020;18686;18242;7953
436;419.0966606;3.31;C21H14N4O6 - C20H18O10 - C15H18N2O12;C19H16N4O6 - C18H20O10;0;0;44;7129;20428;935
437;381.0774902;0.75;;;21;0;414;14973;54622;162689
438;463.1231278;5.06;C22H22O11 - C17H22N2O13;C20H24O11;0;602;9080;9178;24739;74037
439;301.0698318;3.82;C17H8N4O2 - C16H12O6 - C11H12N2O8;C15H10N4O2 - C14H14O6;0;0;124;2916;17460;60780
440;765.3094482;16.53;C42H44N4O10 - C41H48O14 - C36H48N2O16 - C31H48N4O18 - C29H52N2O21 - C30H52O22 - C24H52N4O23;C45H46N2O8 - C40H46N4O10 - C39H50O14 - C33H50N4O15 - C34H50N2O16 - C32H54O19 - C27H54N2O21;37870;50454;52902;51396;60581;67261
441;535.4292603;28.8;C40H54 - C35H54N2O2 - C28H58N2O7;C38H56 - C31H60O5;0;33576;56825;15370;4599;32891
442;278.1233215;0.88;C11H19NO7;C9H21NO7;24;561;492;6927;20534;55624
443;773.5191803;22.64;;;8811;182578;67391;33052;44352;33269
444;465.1031138;0.76;C22H16N4O8 - C21H20O12 - C16H20N2O14;C25H18N2O6 - C20H18N4O8 - C19H22O12;0;0;0;12938;55339;50896
445;355.1022369;1.06;C17H14N4O5 - C16H18O9 - C11H18N2O11;C15H16N4O5 - C14H20O9;0;120;722;2754;20119;44804
446;479.1181831;4.09;C17H22N2O14;;0;0;611;7568;19937;39617
447;339.1063105;1.19;C16H18O8 - C11H18N2O10;C14H20O8;51;770;427;3442;23975;35418
448;453.3214811;24.04;C21H44N2O8;;1956;1083;227;756;1370;21658
449;635.2862732;22.98;C42H38N2O4 - C37H38N4O6 - C36H42O10 - C30H42N4O11 - C31H42N2O12 - C29H46O15 - C24H46N2O17;C40H40N2O4 - C35H40N4O6 - C34H44O10 - C28H44N4O11 - C27H48O15 - C22H48N2O17;0;11115;14925;23819;27171;17937
450;641.1719971;1.45;C34H28N2O11 - C29H28N4O13 - C28H32O17 - C23H32N2O19 - C16H36N2O24;C32H30N2O11 - C27H30N4O13 - C26H34O17 - C20H34N4O18;0;0;0;268;5697;10205
451;484.2522838;0.99;C31H33NO4 - C24H37NO9 - C19H37N3O11;C22H39NO9 - C17H39N3O11;0;0;0;1952;10499;30794
