row ID;row m/z;row retention time;row identity (all IDs);LN-380.mzXML Peak area;
78;1475.5303955078125;11.646183333333333;;251231.0921206457;
79;301.178955078125;10.018416666666667;C19H24O3 - C14H24N2O5;384337.6541241174;
80;442.1396484375;9.65905;C12H27NO16;462034.1797664665;
81;623.3131103515625;10.800583333333332;C38H42N2O6 - C31H46N2O11 - C25H50O17;335972.33609137085;
82;344.3166198730469;8.855766666666666;C20H41NO3;311391.6869676554;
83;534.31982421875;13.844683333333334;C33H43NO5;309250.79247460415;
84;316.2864685058594;7.967883333333333;C18H37NO3;321233.5270328368;
85;751.2235107421875;5.958;C33H38N2O18 - C31H42O21 - C26H42N2O23;321485.7488162236;
86;766.54736328125;14.3943;;359380.01602173183;
87;400.3804626464844;9.933866666666667;C24H49NO3;353688.97965649044;
88;771.3746337890625;8.559816666666668;C40H54N2O13 - C38H58O16 - C33H58N2O18;266910.00392284663;
89;752.532470703125;14.267483333333333;;374298.06824811216;
90;288.2902526855469;7.099516666666667;;263958.17490454006;
91;283.16998291015625;7.543433333333334;C19H22O2;363255.43005984573;
92;297.24072265625;10.864;C18H32O3;346166.3325585894;
93;319.2236633300781;11.011983333333335;C15H30N2O5;352380.7250273425;
94;588.4103393554688;3.9497166666666668;;380906.4243024902;
95;384.1346740722656;9.426516666666666;;327689.4430921421;
96;226.95187377929688;21.541166666666665;;304527.2045300251;
97;485.362060546875;12.999116666666668;;316671.4405378441;
98;549.3190307617188;13.041400000000001;C29H44N2O8 - C22H48N2O13;428549.23590021976;
99;341.2098083496094;8.623233333333333;C17H28N2O5;320191.09798584256;
100;681.317626953125;6.169383333333333;;216277.311768707;
101;297.24072265625;11.15995;C18H32O3;276226.4294638684;
102;709.3491821289062;6.782416666666666;C49H44N2O3 - C42H48N2O8 - C35H52N2O13 - C36H52O14 - C29H56O19;307742.975812882;
103;905.68310546875;4.6261833333333335;;296564.4930548235;
104;688.4212646484375;15.875783333333334;C49H53NO2 - C42H57NO7;244395.79735019163;
105;1347.8782958984375;17.567;;263272.46655135794;
106;733.2681274414062;12.068966666666666;C49H36N2O5 - C43H40O11 - C36H44O16 - C31H44N2O18 - C24H48N2O23 - C25H48O24;308999.94081448537;
107;709.266845703125;11.646183333333333;C47H36N2O5 - C41H40O11 - C36H40N2O13 - C34H44O16 - C29H44N2O18 - C22H48N2O23 - C23H48O24;280771.77925149666;
108;614.382568359375;15.0302;C39H51NO5;241643.1206973911;
109;814.58056640625;4.118833333333333;;876503.226091799;
110;348.2889404296875;12.132383333333333;;252053.39470391863;
111;336.2554626464844;8.327283333333334;C20H33NO3;305442.21591854823;
112;641.3471069335938;10.927433333333333;C35H48N2O9 - C33H52O12 - C28H52N2O14;284710.0060589608;
113;277.2176513671875;9.447666666666667;;258230.88151782096;
114;437.1944885253906;8.58095;;270754.1461322006;
115;662.4093627929688;15.833499999999999;C40H55NO7 - C33H59NO12;187529.63737252934;
116;403.23443603515625;11.878716666666666;;260476.30784667825;
117;344.1868591308594;5.5140666666666664;C20H25NO4;268002.2516961959;
118;695.2681884765625;8.432983333333333;;181905.59088571504;
119;360.13641357421875;9.65905;;280832.3760028707;
120;344.1868591308594;7.458866666666666;C20H25NO4;406813.19586541783;
121;792.5985717773438;0.5851500000000001;;240655.40788037088;
122;395.1667785644531;11.7096;C20H26O8 - C15H26N2O10;238039.6592348199;
123;581.2169189453125;10.0607;C41H28N2O2 - C30H32N2O10 - C23H36N2O15;485389.90639514144;
124;304.28570556640625;7.4166;C17H37NO3;247570.64727825983;
125;887.5651245117188;19.1735;;429963.46707672667;
126;332.31640625;8.1793;C19H41NO3;260230.59258374033;
127;1040.7564697265625;4.7530166666666664;;312578.1034467168;
128;659.4318237304688;8.327283333333334;C37H58N2O8;271991.55216319254;
129;575.1156005859375;6.993816666666667;;291326.61247816455;
130;509.8903503417969;4.7530166666666664;;237435.07105358885;
131;740.5299682617188;14.161783333333334;;225043.8999108909;
132;749.3938598632812;8.559816666666668;C49H52N2O5 - C42H56N2O10 - C43H56O11 - C36H60O16 - C31H60N2O18;181048.9519653437;
133;314.3079528808594;12.3015;C19H39NO2;215201.65381512456;
134;764.531494140625;14.077216666666667;;308979.95557736297;
135;527.337890625;13.147083333333335;C32H46O6 - C25H50O11;248329.43211267126;
136;724.5387573242188;14.945633333333335;;254021.1765710436;
137;287.88983154296875;21.71033333333333;;666828.1329162642;
138;709.3491821289062;5.323816666666667;C42H48N2O8 - C35H52N2O13 - C36H52O14 - C29H56O19;215445.980122025;
139;754.5423583984375;13.569866666666666;;384128.27059869573;
140;342.17132568359375;7.2052000000000005;C20H23NO4;236747.78176483128;
141;727.2781982421875;11.646183333333333;C47H38N2O6 - C41H42O12 - C34H46O17 - C29H46N2O19;232785.0178763435;
142;466.1878662109375;8.665516666666667;C26H27NO7 - C19H31NO12;294282.18092043785;
143;339.1938171386719;9.955;C17H26N2O5;278577.50767919683;
144;489.3599548339844;11.477066666666667;C30H48O5;220616.46764868146;
145;439.35833740234375;12.872283333333334;C30H46O2;208427.8452656269;
146;298.2746276855469;10.906266666666665;;239250.09787499718;
147;738.5504150390625;15.32615;;490648.8291147297;
148;304.28570556640625;7.247483333333333;C17H37NO3;201583.95408056688;
149;612.53515625;18.497;;356987.577848814;
150;861.2913818359375;9.65905;;194812.22368368733;
151;283.16998291015625;7.141783333333334;C19H22O2;237702.07446527132;
152;424.1747131347656;7.2052000000000005;C24H25NO6;290318.4498664549;
153;353.2304382324219;6.42305;C15H32N2O7;394997.1824348153;
154;548.3372192382812;14.478866666666667;C34H45NO5;198298.4523150446;
155;619.3648071289062;10.927433333333333;C38H50O7 - C31H54O12 - C26H54N2O14;209560.53995190497;
156;871.5730590820312;19.998;;391160.1714721746;
157;301.10845947265625;8.306133333333333;;210923.43481103648;
158;749.2589721679688;10.9697;C49H36N2O6 - C43H40O12 - C38H40N2O14 - C36H44O17 - C31H44N2O19 - C25H48O25;263916.2509779088;
159;463.2861022949219;13.443033333333334;;209871.3846329346;
160;285.11126708984375;7.480016666666667;C17H16O4 - C12H16N2O6;201801.1186137702;
161;637.3758544921875;10.039566666666667;C44H48N2O2 - C31H56O13 - C26H56N2O15;228505.94612939574;
162;279.1603088378906;10.821716666666667;;315222.9302189943;
163;462.35260009765625;3.9708666666666668;;178348.27932464573;
164;386.1977233886719;6.845833333333333;C22H27NO5;237941.4682128364;
165;420.15838623046875;9.65905;C28H21NO3;208096.3975913405;
166;830.6130981445312;16.7425;;448804.52217505703;
167;328.2845458984375;7.839383333333333;C19H37NO3;219512.38343652227;
168;368.31646728515625;13.147083333333335;C22H41NO3;187614.31530096417;
169;754.5423583984375;14.607383333333333;;213437.7881666287;
170;348.2751770019531;6.42305;C18H37NO5;329512.64412087365;
171;609.18408203125;4.182266666666667;;186712.58219711258;
172;810.6121826171875;0.5851500000000001;;148951.67878857403;
173;462.3220520019531;12.829983333333333;;310542.6861430668;
174;335.1274108886719;8.158166666666666;C16H18N2O6;185130.89015222178;
175;825.3601684570312;7.2052000000000005;C46H52N2O12 - C39H56N2O17 - C40H56O18 - C33H60O23 - C28H60N2O25;166256.78573672468;
176;752.532470703125;13.950383333333333;;216844.84989392103;
177;887.5651245117188;19.448333333333334;;289934.0514593548;
178;353.0804443359375;6.951533333333333;C18H12N2O6 - C11H16N2O11;212922.13354949997;
179;586.514892578125;18.454833333333333;;247860.31806457246;
180;244.20303344726562;0.5851500000000001;;126666.83210522449;
181;697.5279541015625;0.5868166666666668;;149334.25381457503;
182;535.3986206054688;13.612150000000002;C27H54N2O8;200611.20141540343;
183;677.3706665039062;9.743616666666666;C46H48N2O3 - C40H52O9 - C35H52N2O11 - C33H56O14 - C28H56N2O16;155864.69929196217;
184;754.5423583984375;13.443033333333334;;144430.40057025163;
185;518.8944091796875;4.118833333333333;;163829.17998614607;
186;363.2890930175781;11.350216666666666;;177042.38122173975;
187;501.3572082519531;13.12595;;171809.73605188145;
188;610.5203247070312;17.482333333333333;;185102.56205871404;
189;909.5479125976562;19.1735;;288592.18791534787;
190;455.3553771972656;12.576316666666665;C30H46O3;175000.27763122393;
191;479.225830078125;12.047833333333333;C25H34O9 - C20H34N2O11;214244.67034485002;
192;317.20953369140625;5.8523;C20H28O3 - C15H28N2O5;167304.93815203806;
193;745.2817993164062;7.7971;;193086.95370594814;
194;312.1611633300781;8.517533333333335;C19H21NO3;171999.24512286528;
195;299.1283264160156;6.000266666666667;C18H18O4;168213.35678332546;
196;407.7956848144531;4.457066666666666;;253016.68536659205;
197;342.30120849609375;8.263866666666667;C20H39NO3;244437.37344415384;
198;328.2845458984375;7.9256166666666665;C19H37NO3;199612.36281494185;
199;612.37060546875;14.436583333333335;C39H49NO5 - C32H53NO10;150553.5715422983;
200;707.3069458007812;11.181099999999999;C45H42N2O6 - C39H46O12 - C34H46N2O14 - C32H50O17 - C27H50N2O19;171888.48979590042;
201;326.1756591796875;9.7859;C20H23NO3;188542.25742532537;
202;581.2169189453125;10.737150000000002;C41H28N2O2 - C30H32N2O10 - C23H36N2O15;197632.85579539585;
203;326.1756591796875;7.268616666666667;C20H23NO3;224449.34162683113;
204;281.2494812011719;9.130583333333334;C18H32O2;162233.28468383622;
205;405.8087158203125;3.8017499999999997;;147455.87700521824;
206;402.1929931640625;7.2052000000000005;C22H27NO6 - C15H31NO11;179146.99701242044;
207;344.1868591308594;7.184066666666666;C20H25NO4;214845.3841676634;
208;768.5650634765625;14.034933333333333;;136632.41317877363;
209;646.4674072265625;15.199316666666666;;395363.5229652101;
210;629.404296875;14.0138;C43H52N2O2;124027.59938598634;
211;319.2236633300781;10.864;C20H30O3 - C15H30N2O5;174201.0376386699;
212;754.5423583984375;14.734216666666667;;300614.6209800564;
213;754.5423583984375;14.734216666666667;;150944.29176562538;
214;316.2864685058594;7.522283333333333;C18H37NO3;143646.49616729736;
215;277.2176513671875;10.272083333333335;C18H28O2;178613.36386474583;
216;701.4956665039062;0.5640000000000001;;122235.30069325249;
217;527.337890625;13.062533333333333;C32H46O6 - C27H46N2O8 - C25H50O11;193643.98609618976;
218;626.3842163085938;14.924466666666666;C40H51NO5 - C33H55NO10;123945.7161875297;
219;1036.7791748046875;0.5851500000000001;;113504.49823312365;
220;765.3384399414062;7.670266666666667;;123549.74242083727;
221;606.3446044921875;14.436583333333335;C36H47NO7 - C29H51NO12;126403.77247345014;
222;439.35833740234375;11.984416666666668;C30H46O2;179444.31206372028;
223;619.402099609375;10.462349999999999;C39H54O6 - C32H58O11 - C27H58N2O13;175850.91805944982;
224;750.5518188476562;15.1359;;186770.70848022585;
225;319.2236633300781;11.15995;C15H30N2O5;146181.49177160693;
226;293.2113037109375;7.860516666666666;C18H28O3;164066.71559570258;
227;587.230224609375;11.0754;C40H30N2O3 - C34H34O9 - C27H38O14 - C22H38N2O16;192451.43592979558;
228;695.336181640625;12.153533333333334;C41H46N2O8 - C39H50O11 - C34H50N2O13 - C28H54O19;142434.16899250934;
229;310.17938232421875;11.011983333333335;C20H23NO2;158522.49145784587;
230;376.304931640625;8.876900000000001;C20H41NO5;133182.75241618408;
231;768.5650634765625;15.009066666666666;;132651.43037976226;
232;853.2860717773438;11.688466666666667;C50H44O13 - C45H44N2O15 - C43H48O18 - C38H48N2O20 - C31H52N2O25 - C32H52O26 - C27H52N2O28;140561.38483784648;
233;1161.4327392578125;10.0607;;132058.20759722768;
234;677.4429321289062;14.3943;C37H60N2O9;109523.6974575213;
235;931.42626953125;15.072483333333334;;115055.90715572893;
236;217.05047607421875;6.63445;C12H8O4;162010.06966772483;
237;414.298095703125;3.9708666666666668;C26H39NO3;129411.08093969706;
238;348.1587219238281;7.839383333333333;C22H21NO3;155060.95631335358;
239;646.4674072265625;15.262733333333333;;162630.8465462656;
240;663.4528198242188;17.567;;177149.881192625;
241;601.3555908203125;10.927433333333333;C38H48O6 - C31H52O11 - C26H52N2O13;138908.79926992842;
242;931.42626953125;15.495266666666668;;122042.21122979854;
243;584.5062255859375;17.419;;186108.44203049163;
244;628.3988037109375;15.474133333333333;C40H53NO5;109378.49275384675;
245;637.3758544921875;10.14525;C44H48N2O2 - C31H56O13 - C26H56N2O15;133795.93705221612;
246;295.2276611328125;6.42305;C18H30O3;205822.7356231694;
247;283.2064514160156;9.046016666666667;C20H26O;151363.12479211352;
248;203.1805877685547;10.25095;C15H22;177194.60095666628;
249;318.30145263671875;7.7336833333333335;;176799.90956665046;
250;394.164306640625;7.670266666666667;C23H23NO5;174641.19099198916;
251;387.1067810058594;5.936850000000001;;145265.50331668113;
252;277.2176513671875;10.4412;C18H28O2;142099.3928498532;
253;458.3839416503906;8.686649999999998;C26H51NO5;119932.9240645735;
254;535.3986206054688;13.443033333333334;C27H54N2O8;145240.26496093685;
255;429.099365234375;8.79235;C18H20O12 - C13H20N2O14;158911.29084228436;
256;701.3746337890625;9.341966666666668;C48H48N2O3 - C41H52N2O8 - C35H56O14 - C30H56N2O16;120881.1104671016;
257;279.2325134277344;11.011983333333335;C18H30O2;130379.00188818283;
258;740.5299682617188;13.083666666666666;;176432.6089517815;
259;439.35833740234375;14.034933333333333;C30H46O2;150476.4722901012;
260;372.3135681152344;10.546899999999999;C21H41NO4;141598.7622265919;
