MZ	ID	RT	Area
587.228	174	16.92	134597
449.288	175	20.61	117962
686.296	176	16.35	91997
718.345	177	14.24	98566
471.348	178	18.31	751448
453.371	179	18.03	145121
415.212	180	16.05	95926
377.32	181	19.54	116594
477.334	182	20.63	119677
383.351	183	23.5	98620
565.246	184	22.35	77985
311.163	185	5	77036
475.377	186	11.44	277826
447.236	187	10.83	120250
312.29	188	17.71	131167
437.378	189	18.8	120107
515.264	190	12.23	96364
285.111	191	9.04	76281
445.367	192	21.33	108911
395.368	193	18.99	110791
425.342	194	24.2	82675
457.366	195	20.95	185379
429.227	196	17.26	99618
417.224	197	5	68476
637.375	198	17.18	106660
475.377	199	16.99	196047
293.21	200	8.48	104054
315.123	201	7.63	80893
431.207	202	18.73	158757
453.371	203	23.27	107005
395.368	204	19.43	98822
344.183	205	8.84	105281
445.222	206	19.69	88292
353.304	207	21.33	78968
417.224	208	18.99	124201
439.357	209	16.99	289084
455.352	210	21.92	158043
516.405	211	5.72	73389
311.221	212	8.46	75847
445.367	213	21.99	187006
256.261	214	20.65	95143
473.363	215	18.33	198036
330.169	216	7.12	74325
477.285	217	15.01	71071
395.331	218	19.54	105587
439.357	219	13.07	94285
654.4	220	14.54	94959
581.181	221	11.64	233992
299.091	222	6.86	88940
656.285	223	16.82	74478
529.21	224	14.02	143985
352.322	225	19.6	104875
385.189	226	8.95	84344
473.363	227	21.05	129496
449.288	228	18.95	95683
279.23	229	8.72	80871
439.357	230	24.29	102209
732.301	231	13.53	152950
443.352	232	15.9	121494
293.21	233	8.2	105347
730.546	234	24.37	84259
591.425	235	19.99	85613
342.169	236	8.35	69600
437.378	237	22.9	108953
297.243	238	8.72	70065
727.276	239	17.35	88084
285.185	240	8.46	50933
628.195	241	25.35	65617
641.323	242	8.89	55090
313.142	243	10.78	75443
443.352	244	16.22	139106
707.307	245	17.33	84530
297.243	246	17.35	56536
730.546	247	22.97	137668
287.222	248	13.09	71179
284.294	249	23.73	69106
449.288	250	21.29	79317
1006.487	251	23.61	67826
605.24	252	14.88	50067
489.358	253	18.09	77504
642.271	254	15.99	86851
287.165	255	7.48	64721
352.147	256	11.96	57579
455.352	257	19.97	91889
297.243	258	15.86	72340
674.297	259	15.13	84886
333.206	260	5.55	115213
441.372	261	21.5	116487
437.378	262	19.65	84459
732.301	263	14.6	158228
489.358	264	11.79	417215
353.269	265	12.57	130364
269.116	266	11.53	83162
703.295	267	11.96	56445
714.552	268	22.5	80528
475.307	269	19.75	46074
353.269	270	14.92	172237
487.38	271	22.95	59789
443.388	272	18.22	90587
344.183	273	4.9	58763
311.221	274	8.2	89786
475.307	275	20.16	55208
303.124	276	3.6	71437
723.3	277	14.24	68992
461.362	278	13.3	68690
459.348	279	12.23	91433
457.366	280	19.78	230553
415.101	281	10.83	56730
431.207	282	5.43	52212
599.231	283	13.43	66140
371.112	284	8.37	52554
578.23	285	11.85	56460
